path	bytes	lines	extension	test_code
proto/ferrum.proto	6071	138	.proto	0
proto/health.proto	375	21	.proto	0
proto/workload_api.proto	5512	140	.proto	0
rust-toolchain.toml	398	8	.toml	0
scripts/check_advisory_expiry.sh	2684	60	.sh	0
scripts/check_coverage_thresholds.py	9042	287	.py	0
scripts/check_helm_values_schema_parity.py	6102	175	.py	0
scripts/check_vendored_patch_status.sh	3886	73	.sh	0
scripts/coverage.sh	5417	187	.sh	0
scripts/gateway_api_data_plane_conformance.sh	28417	890	.sh	0
scripts/install-build-deps.sh	1850	57	.sh	0
scripts/update_vendor_integrity.sh	958	21	.sh	0
src/adaptive_buffer.rs	19794	490	.rs	0
src/adaptive_concurrency.rs	49803	1240	.rs	0
src/admin/api_specs/extractor.rs	226857	6235	.rs	0
src/admin/api_specs/handlers.rs	165329	4201	.rs	0
src/admin/api_specs/mod.rs	2057	54	.rs	0
src/admin/audit.rs	16220	449	.rs	0
src/admin/backup.rs	6989	213	.rs	0
src/admin/conn_limit.rs	9719	231	.rs	0
src/admin/crud.rs	186869	4996	.rs	0
src/admin/jwt_auth.rs	18078	434	.rs	0
src/admin/mesh_config_drift.rs	29498	699	.rs	0
src/admin/mesh_remote_clusters.rs	19675	407	.rs	0
src/admin/metrics.rs	21866	603	.rs	0
src/admin/mod.rs	332151	8200	.rs	0
src/admin/spec_codec.rs	6565	172	.rs	0
src/admin/tls_management.rs	82647	2416	.rs	0
src/backend_conn_limit.rs	14723	373	.rs	0
src/backend_pending_limit.rs	28960	666	.rs	0
src/bin/ferrum-cni.rs	9160	234	.rs	0
src/capture/mod.rs	231367	5257	.rs	0
src/circuit_breaker.rs	38775	827	.rs	0
src/cli.rs	38393	1000	.rs	0
src/cni/client.rs	7086	172	.rs	0
src/cni/install.rs	22459	635	.rs	0
src/cni/mod.rs	1694	34	.rs	0
src/cni/rpc.rs	9341	244	.rs	0
src/cni/spec.rs	18236	481	.rs	0
src/config/conf_file.rs	4988	131	.rs	0
src/config/config_backup.rs	5930	126	.rs	0
src/config/config_migration.rs	9099	258	.rs	0
src/config/db_backend.rs	80169	2022	.rs	0
src/config/db_loader.rs	396855	9922	.rs	0
src/config/env_config.rs	295932	5803	.rs	0
src/config/env_config_macro.rs	15358	460	.rs	0
src/config/file_loader.rs	28176	700	.rs	0
src/config/incremental_apply.rs	5258	156	.rs	0
src/config/migrations/mod.rs	38807	968	.rs	0
src/config/migrations/sql_dialect.rs	77347	1724	.rs	0
src/config/migrations/sql_statements.rs	33932	1005	.rs	0
src/config/migrations/v001_initial_schema.rs	1057	40	.rs	0
src/config/mod.rs	1778	39	.rs	0
